"","ID","Amout","Description","Grantmakers","Tags","Grantees (research)","Grantees (organisations)","Grantees (other)","Start year","Funder type","Recipients type","Source","Source_2"
"127",162,"$175,000","Diversifying working waterfronts: shellfish and seaweed aquaculture","Long Cove Foundation","Aquaculture infrastructure & tech","","","Island Institute","2019","Philanthropic","Non-profit","https://maps.foundationcenter.org/#/list/?subjects=all&popgroups=all&years=all&location=6295630&excludeLocation=0&geoScale=ADM0&layer=geo_area&boundingBox=-139.219,-31.354,135,66.513&gmOrgs=all&recipOrgs=all&tags=all&keywords=seaweed&pathwaysOrg=&pathwaysType=&acct=oceans&typesOfSupport=all&transactionTypes=all&amtRanges=all&minGrantAmt=0&maxGrantAmt=0&gmTypes=all&minAssetsAmt=0&maxAssetsAmt=0&minGivingAmt=0&maxGivingAmt=0&andOr=0&includeGov=1&custom=all&customArea=all&indicator=&dataSource=oecd&chartType=facets&multiSubject=1&listType=grant&windRoseAnd=undefined&zoom=2",""
"210",163,"$173,842","IntegraSea - Integrated offshore cultivation of high value seaweed and their potential use in controlling harmful algal blooms","Horizon2020","IMTA","Instituto Portugues do Mar e da Atmosphera (IPMA)","","","2019","Government","Univ / Research institute","https://cordis.europa.eu/project/id/800506",""
"37",164,"$149,980","to evaluate the impacts of rapid ocean warming and fisheries activities on Maine’s kelp forest ecosystems since 2004, when the most recent comprehensive survey of kelp forests was completed.","Maine Sea Grant","Ecology / Plant biology","Bigelow Laboratory for Ocean Sciences
University of Maine","","","2019","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"47",165,"$110,000","To establish and improve management of marine protected areas and protect kelp forests in Chile","David and Lucile Packard Foundation","Conservation and restoration","","Oceana","","2019","Philanthropic","Non-profit","https://www.packard.org/grants-and-investments/grants-database/oceana-9/",""
"57",166,"$107,633","to support work to restore natural kelp forest in the seas out to 4km off the coast between Selsey and Shoreham.","Department for Environment Food and Rural Affairs (DEFRA)","Conservation and restoration","","Help our Kelp","","2019","Government","Non-profit","https://www.adur-worthing.gov.uk/news/pr21-106.html",""
"67",167,"$103,916","Analyze growth of and the potential for bioextraction of pollution by sugar kelp in Long Island’s Gold Coast in the Oyster Bay Complex, New York.","National Fish and Wildlife Foundation (NFWF)","Bioremediation","Adelphi University","","","2019","Government","Univ / Research institute","https://www.nfwf.org/grants/grants-library/profile?egid=65633",""
"77",168,"$99,997","Laying the groundwork to advance the practice of sustainable seaweed farming in the pacific northwest","Washington Sea Grant","Capacity building / outreach","Washington Sea Grant","Puget Sound Restoration Fund","","2019","Government","Private-public consortium","https://seagrant.noaa.gov/insideseagrant/database",""
"87",169,"$99,751","Establishing a pilot seaweed farm in the alaska peninsula","Alaska Sea Grant","Capacity building / outreach","Alaska Sea Grant
Aleutians East Borough","","","2019","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"97",170,"$94,689","To improve kelp aquaculture farm design, optimizing for improved crop yields and growth efficiency. This project will define flow and nutrient delivery patterns that will guide current and future aquaculture farm designs. It will also create a table of load values that will be essential in designing the gear that constitutes the structure of aquaculture farms. This project will be the first of its kind to quantify efficiency of seaweed farm design with the objective of maximizing yield and quali","MIT Sea Grant College Program","Aquaculture infrastructure & tech","MIT Sea Grant
Massachusetts Institute of Technology","Springtide Seaweed","","2019","Government","Private-public consortium","https://seagrant.noaa.gov/insideseagrant/database",""
"107",171,"$45,000","California's nearshore ecosystem is experiencing unprecedented perturbations due to direct anthropogenic impacts and climate change. As a major provider of reef health information to the state, Reef Check California (RCCA) trains citizen scientists to participate in subtidal surveys. RCCA's goal is to improve marine management by building community around marine conservation and providing critically needed data on kelp forest ecosystems and to inform science-based management of California's MPA","Marisla Foundation","Conservation and restoration","","Reef Check","","2019","Philanthropic","Non-profit","",""
"1111",172,"$25,000","Catalyzing an Ecologically Restorative Seaweed Industry in Belize","Waitt Foundation","Capacity building / outreach","","The Nature Conservancy","","2019","Philanthropic","Non-profit","",""
"128",173,"$15,000","We are requesting funds to restore bull kelp forests in Northern California by building new airlift systems to get more fishermen on the task of urchin collection and to pay the fishermen to collect. In Southern California we will conduct habitat and density surveys for juvenile abalone in the intertidal and subtidal in Orange County. We will also spawn and grow green abalone for eventual outplanting and restoration.","Marisla Foundation","Conservation and restoration","","","Get Inspired","2019","Philanthropic","Non-profit","",""
"137",174,"$14,500,000","to support further research and development of AlgiPharma’s drug candidate (OligoG) for the treatment of people with cystic fibrosis","Cystic Fibrosis Foundation","Pharmaceuticals","","Algipharma","","2018","Non-profit","Private sector","https://algipharma.com/algipharma-receives-an-additional-3-million-from-the-us-cystic-fibrosis-foundation-cff/",""
"147",175,"$7,515,793","Techniques for Tropical Seaweed Cultivation","ARPA-E MARINER","Aquaculture infrastructure & tech","Marine Biological Laboratory at Woods Hole Oceanographic Institution","","","2018","Government","Univ / Research institute","https://arpa-e.energy.gov/technologies/projects/techniques-tropical-seaweed-cultivation",""
"157",176,"$7,032,666","OligoGpivotalCF - To enable a new therapeutic approach for cystic fibrosis through an alginate oligosaccharide derived from seaweed.","Horizon2020","Pharmaceuticals","","Algipharma","","2018","Government","Private sector","https://cordis.europa.eu/project/id/75523january 1 20184",""
"167",177,"$6,762,000","SBC LTER's research builds substantially upon its prior results to: (1) advance a predictive understanding of how natural disturbance, climate variation and human actions (i.e., fishing and coastal development) alter the ecological structure and function of kelp forest ecosystems, and (2) identify the mechanisms that underlie these processes.","National Science Foundation (NSF)","Ecology / Plant biology","Marine Science Institute @ UC Santa Barbara","","","2018","Government","Univ / Research institute","https://www.nsf.gov/awardsearch/showAward?AWD_ID=1831937",""
"177",178,"$5,202,016","Continuous, High-Yield Kelp Production","ARPA-E MARINER","Aquaculture infrastructure & tech","","Umaro","","2018","Government","Private sector","https://arpa-e.energy.gov/technologies/projects/continuous-high-yield-kelp-production",""
"187",179,"$5,151,250","Genome-Wide Seaweed Studies","ARPA-E MARINER","Strain improvement / new species
Genetics / Biochemistry","University of Wisconsin-Milwaukee","","","2018","Government","Univ / Research institute","https://arpa-e.energy.gov/technologies/projects/genome-wide-seaweed-studies",""
"197",180,"$4,249,547","Single Point Mooring Array for Macroalgae","ARPA-E MARINER","Aquaculture infrastructure & tech","","Ocean Era","","2018","Government","Private sector","https://arpa-e.energy.gov/technologies/projects/single-point-mooring-array-macroalgae",""
"207",181,"$4,228,154","Seaweed Hatchery and Selective Breeding Technologies","ARPA-E MARINER
World Wildlife Fund (WWF)","Strain improvement / new species","Woods Hole Oceanographic Institute","","","2018","Government
Non-profit","Univ / Research institute","https://arpa-e.energy.gov/technologies/projects/seaweed-hatchery-and-selective-breeding-technologies","https://www.whoi.edu/press-room/news-release/whoi-advancing-a-seaweed-solution-to-develop-new-kelp-strains/"
"217",182,"$3,132,133","Scalable Coastal and Offshore Macroalgal Farming","ARPA-E MARINER","Aquaculture infrastructure & tech","University of Alaska Fairbanks","","","2018","Government","Univ / Research institute","https://arpa-e.energy.gov/technologies/projects/scalable-coastal-and-offshore-macroalgal-farming",""
"227",183,"$2,928,137","Culture Collection of Algae and Protozoa","Natural Environment Research Council","Genetics / Biochemistry","Scottish Association for Marine Science (SAMS)","","","2018","Government","Univ / Research institute","https://gtr.ukri.org/projects?ref=NE%2FR017050%2F1",""
"237",184,"$2,734,987","It will be based on producing more algal species, such as kelp, red algae, and sea lettuce, then developing bioproducts like animal feed supplements, cosmetics and human foods. Other goals include addressing some of the country’s pressing primary sector issues by reducing methane emissions from cattle through improving feed, and creating environmentally benign solutions to agriculture and horticulture pathogens such as PSA.","Tertiary Education Commission Entrepreneurial Universities","Bioremediation
Applications research","University of Waikato Macroalgae Research Facility","","","2018","Government","Univ / Research institute","https://www.waikato.ac.nz/news-opinion/media/2018/the-science-of-seaweed",""
"129",185,"$2,268,198","AORTA II - Alginor aims to develop and commercialise high-quality products from the seaweed Laminaria hyperborea (Lh) through a revolutionary technology – AORTA.","Horizon2020","Processing / Biorefinery","","Alginor","","2018","Government","Private sector","https://cordis.europa.eu/project/id/830698",""
"218",186,"$2,206,703","Ocean Energy from Macroalgae","ARPA-E MARINER","Cultivation techniques
Sargassum / other algal blooms","","Fearless Fund","","2018","Government","Private sector","https://arpa-e.energy.gov/technologies/projects/ocean-energy-macroalgae",""
"38",187,"$2,056,621","Monitoring Macroalgae Using Acoustics and UUV","ARPA-E MARINER","Aquaculture infrastructure & tech","Woods Hole Oceanographic Institute","","","2018","Government","Univ / Research institute","https://arpa-e.energy.gov/technologies/projects/monitoring-macroalgae-using-acoustics-and-uuv",""
"48",188,"$2,025,984","Modeling for Scalable Macroalgae Production","ARPA-E MARINER","Modeling","Pacific Northwest National Laboratory","","","2018","Government","Univ / Research institute","https://arpa-e.energy.gov/technologies/projects/modeling-scalable-macroalgae-production",""
"58",189,"$2,003,893","Scalable Aquaculture Monitoring System","ARPA-E MARINER","Aquaculture infrastructure & tech","Marine Science Institute @ UC Santa Barbara","","","2018","Government","Univ / Research institute","https://arpa-e.energy.gov/technologies/projects/scalable-aquaculture-monitoring-system",""
"68",190,"$1,965,529","MacroAlgae Cultivation Modeling System","ARPA-E MARINER
Climateworks Foundation","Modeling","Sustainable Seaweed Solutions @ UC Irvine Department of Earth System Science","","","2018","Government
Non-profit","Univ / Research institute","https://arpa-e.energy.gov/technologies/projects/macroalgae-cultivation-modeling-system",""
"78",191,"$1,500,130","By using cast seaweed as substrate and utilize the digestate as a fertilizer, nutrients are physically removed from the Baltic Sea and hence provide a powerful tool to mitigate eutrophication. In addition the inconveniences with rotting seaweed on the beaches are removed for the benefit of recreation, tourism and increased value of residential properties along the coast. Practically, experiences and results from industrial scale anaerobic co-digestion of cast seaweed in Denmark will be further i","Interreg","Energy","","","Fachagentur Nachwachsende Rohstoffe e.V. (FNR), Lietuvos energetikos institutas, Politechnika Gdańska, Baltic Energy Innovation Centre Ekonomisk förening, Roskilde Universitet, Professur Geotechnik und Küstenwasserbau","2018","Government","Private-public consortium","https://keep.eu/projects/21916/Cluster-On-Anaerobic-digest-EN/",""
"88",192,"$1,323,867","Modeling Tool for Ocean-Deployed Farms","ARPA-E MARINER","Modeling","University of New England","","","2018","Government","Univ / Research institute","https://arpa-e.energy.gov/technologies/projects/modeling-tool-ocean-deployed-farms",""
"98",193,"$1,100,128","Novel Alginate Oligomer Products for Enhanced Pharmaceutical Delivery Across Mucosal Barriers","Norwegian Research Council","Pharmaceuticals","","Algipharma","","2018","Government","Private sector","https://prosjektbanken.forskningsradet.no/en/project/FORISS/281920",""
"108",194,"$995,978","Performance and Impact of Macroalgae Farming","ARPA-E MARINER","Modeling","","Makai Ocean Engineering","","2018","Government","Private sector","https://arpa-e.energy.gov/technologies/projects/performance-and-impact-macroalgae-farming",""
"1112",195,"$956,923","This project will quantitatively document the macroalgal communities at multiple sites between Anvers and Adelaide Islands using a combination of SCUBA diving, video surveys, and algal collections. Sea ice cover, light levels, and other environmental parameters on community structure will be modelled to determine which factors have the largest influence. Impacts on community structure, food webs, and carbon flow will be assessed through a mixture of SCUBA diving and video surveys.","National Science Foundation (NSF)","Ecology / Plant biology","University of Alaska Fairbanks
University of Alabama","","","2018","Government","Univ / Research institute","https://www.nsf.gov/awardsearch/showAward?AWD_ID=1744584","https://www.nsf.gov/awardsearch/showAward?AWD_ID=1744570"
"1210",196,"$909,901","Autonomous Tow Vessels","ARPA-E MARINER","Aquaculture infrastructure & tech","","C.A. Goudey & Assoc. (Tendocean)","","2018","Government","Private sector","https://arpa-e.energy.gov/technologies/projects/autonomous-tow-vessels",""
"138",197,"$825,096","Production of alginate oligomers for medical use (Oligo-DSP)","Norwegian Research Council","Pharmaceuticals","","Algipharma","","2018","Government","Private sector","https://prosjektbanken.forskningsradet.no/en/project/FORISS/281907",""
"148",198,"$792,021","This project will document seaweeds (algae) living on deep coral reefs around the Hawaiian Islands.","National Science Foundation (NSF)","Ecology / Plant biology","University of Hawaii","","","2018","Government","Univ / Research institute","https://www.nsf.gov/awardsearch/showAward?AWD_ID=1754117",""
"158",199,"$782,338","The project OPTIMAKELP will provide relevant knowledge of socio-economic aspects needed to make informed decisions on how to manage and exploit recovering kelp forests under climatic and political-economic change.","Norwegian Research Council","Socio-economic impact study
Legal/Policy","NIVA - Norsk Institutt for Vannforskning","","","2018","Government","Univ / Research institute","https://prosjektbanken.forskningsradet.no/en/project/FORISS/280732",""
"168",200,"$740,161","Oregon Sea Grant-supported researchers investigated innovative technologies to overcome barriers to scaling up production of two commercially important U.S. West Coast red seaweeds. The team used mesh panels to intensify biomass production for open-ocean and land-based cultivation that is cost-effective at small or large scales.","Oregon Sea Grant","Cultivation techniques","Oregon State University
Oregon Sea Grant","","","2018","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"178",201,"$597,238","Evolution and Function of NO-Synthases in Plants - ALGAE-NOS","ANR - National Research Agency France","Genetics / Biochemistry","JOLIOT Institut des sciences du vivant","","","2018","Government","Univ / Research institute","https://anr.fr/Projet-ANR-18-CE20-0022",""
"188",202,"$500,000","Nautical Offshore Macroalgal Autonomous Device","ARPA-E MARINER","Aquaculture infrastructure & tech","Pacific Northwest National Laboratory","","","2018","Government","Univ / Research institute","https://arpa-e.energy.gov/technologies/projects/nautical-offshore-macroalgal-autonomous-device",""
"198",203,"$500,000","Adjustable Depth Seaweed Growth System","ARPA-E MARINER","Aquaculture infrastructure & tech","Gulf Coast Research Laboratory at University of Southern Mississippi","","","2018","Government","Univ / Research institute","https://arpa-e.energy.gov/technologies/projects/adjustable-depth-seaweed-growth-system",""
"208",204,"$499,999","SeaweedPaddock Pelagic Sargassum Ranching","ARPA-E MARINER","Aquaculture infrastructure & tech","Gulf Coast Research Laboratory at University of Southern Mississippi","","","2018","Government","Univ / Research institute","https://arpa-e.energy.gov/technologies/projects/seaweedpaddock-pelagic-sargassum-ranching",""
"219",205,"$495,022","Design of Large Scale Macroalgae Systems","ARPA-E MARINER","Aquaculture infrastructure & tech","","","","2018","Government","Private sector","https://arpa-e.energy.gov/technologies/projects/design-large-scale-macroalgae-systems",""
"228",206,"$346,410","Investigation of Seaweed Cultivation as Ocean Acidification Mitigation Strategy","Paul G. Allen Family Foundation","Bioremediation","","Puget Sound Restoration Fund","","2018","Philanthropic","Non-profit","https://maps.foundationcenter.org/#/list/?subjects=all&popgroups=all&years=all&location=6295630&excludeLocation=0&geoScale=ADM0&layer=geo_area&boundingBox=-139.219,-31.354,135,66.513&gmOrgs=all&recipOrgs=all&tags=all&keywords=seaweed&pathwaysOrg=&pathwaysType=&acct=oceans&typesOfSupport=all&transactionTypes=all&amtRanges=all&minGrantAmt=0&maxGrantAmt=0&gmTypes=all&minAssetsAmt=0&maxAssetsAmt=0&minGivingAmt=0&maxGivingAmt=0&andOr=0&includeGov=1&custom=all&customArea=all&indicator=&dataSource=oecd&chartType=facets&multiSubject=1&listType=grant&windRoseAnd=undefined&zoom=2",""
"238",207,"$332,436","Ecological and metabolic strategies of bacteria specializing in the degradation of macroalgae - ALGAVOR","ANR - National Research Agency France","Ecology / Plant biology","LBI2M Laboratoire de Biologie intégrative des modèles marins","","","2018","Government","Univ / Research institute","",""
"130",208,"$316,080","This project blends marine and microbial ecology, aiming to experimentally decouple effects of microbial diversity versus function on the performance of dominant marine holobionts, habitat-forming seaweeds. Expected outcomes are to characterise key microbial taxa and functions and their effects on seaweed performance, and how this is affected by environmental stress.","Australian Research Council","Ecology / Plant biology","University of NSW","","","2018","Government","Univ / Research institute","https://researchdata.edu.au/discovery-projects-grant-id-dp180104041/1317214/",""
"220",209,"$264,156","SUSFOOD2: Extraction and characterisation of BIOactives and CARBohydrates from seaweeds and seagrasses FOR FOOD-related Applications","Norwegian Research Council","New foods","Nofima","","","2018","Government","Univ / Research institute","https://prosjektbanken.forskningsradet.no/en/project/FORISS/284291",""
"39",210,"$263,712","SUSFOOD2: Innovative processing of seaweed for novel, healthy food products and ingredients","Norwegian Research Council","Processing / Biorefinery
New foods","Sintef","","","2018","Government","Univ / Research institute","https://prosjektbanken.forskningsradet.no/en/project/FORISS/284381",""
"49",211,"$219,469","The project Bindweed aims to translate and refine recent research into an innovative new technology that will substantially reduce the cost of macroalgal outplanting for end-users.","Biotechnology and Biological Sciences Research Council (BBSRC)","Aquaculture infrastructure & tech","Scottish Association for Marine Science (SAMS)","","","2018","Government","Univ / Research institute","https://gtr.ukri.org/projects?ref=BB%2FS004408%2F1",""
"59",212,"$175,000","Diversifying working waterfronts: shellfish and seaweed aquaculture","Long Cove Foundation","Aquaculture infrastructure & tech","","","Island Institute","2018","Philanthropic","Non-profit","https://maps.foundationcenter.org/#/list/?subjects=all&popgroups=all&years=all&location=6295630&excludeLocation=0&geoScale=ADM0&layer=geo_area&boundingBox=-139.219,-31.354,135,66.513&gmOrgs=all&recipOrgs=all&tags=all&keywords=seaweed&pathwaysOrg=&pathwaysType=&acct=oceans&typesOfSupport=all&transactionTypes=all&amtRanges=all&minGrantAmt=0&maxGrantAmt=0&gmTypes=all&minAssetsAmt=0&maxAssetsAmt=0&minGivingAmt=0&maxGivingAmt=0&andOr=0&includeGov=1&custom=all&customArea=all&indicator=&dataSource=oecd&chartType=facets&multiSubject=1&listType=grant&windRoseAnd=undefined&zoom=2",""
"69",213,"$150,000","For feasibility studies of red seaweed as a methane-reducing feed supplement for cattle","David and Lucile Packard Foundation","Livestock methane reduction","","","Sustainable Markets Foundation","2018","Philanthropic","Non-profit","https://www.packard.org/grants-and-investments/grants-database/sustainable-markets-foundation/",""
"79",214,"$103,478","Wave attenuation and chemical buffering: determining ecosystem services of giant kelp to southern california","University of Southern California Sea Grant","Environmental impact study","California State University Northridge","","","2018","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"89",215,"$100,000","For work to establish two new marine protected areas in La Higuera and Katalalixar, to secure a newly established marine protected area in Tortel, and to support the protection of brown kelp.","David and Lucile Packard Foundation","Conservation and restoration","","Oceana","","2018","Philanthropic","Non-profit","https://www.packard.org/grants-and-investments/grants-database/oceana-6/",""
"99",216,"$75,000","Catalyzing an Ecologically Restorative Seaweed Industry in Belize","Waitt Foundation","Capacity building / outreach","","The Nature Conservancy","","2018","Philanthropic","Non-profit","",""
"109",217,"$71,456","Engage fishing communities, seafood processors, tribal entities to produce region-specific data that informs the siting and implementation of mariculture in the region. Project will result in three kelp mariculture pilots in Aleutians East Borough and a guidance manual for mariculture.","National Fish and Wildlife Foundation (NFWF)","Capacity building / outreach","Aleutians East Borough","","","2018","Government","Non-profit","https://www.nfwf.org/grants/grants-library/profile?egid=61327",""
"1113",218,"$58,460","SEAGEM, to bring Vertebrata Lanosa, a true gastronomic gem, to worldwide cuisines.","Horizon2020","New foods","","Islensk Hollusta","","2018","Government","Private sector","https://cordis.europa.eu/project/id/826356",""
"1211",219,"$51,465","Alaska Sea Grant researchers study live and beach wrack kelp to inform harvest and management of kelp populations in southcentral Alaska.","Alaska Sea Grant","Environmental impact study","Alaska Sea Grant","","","2018","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"139",220,"$50,000","Gulf of maine kelp forest research","Long Cove Foundation","CDR","Bigelow Laboratory for Ocean Sciences","","","2018","Philanthropic","Univ / Research institute","https://maps.foundationcenter.org/#/list/?subjects=all&popgroups=all&years=all&location=6295630&excludeLocation=0&geoScale=ADM0&layer=geo_area&boundingBox=-139.219,-31.354,135,66.513&gmOrgs=all&recipOrgs=all&tags=all&keywords=kelp&pathwaysOrg=&pathwaysType=&acct=oceans&typesOfSupport=all&transactionTypes=all&amtRanges=all&minGrantAmt=0&maxGrantAmt=0&gmTypes=all&minAssetsAmt=0&maxAssetsAmt=0&minGivingAmt=0&maxGivingAmt=0&andOr=0&includeGov=1&custom=all&customArea=all&indicator=&dataSource=oecd&chartType=facets&multiSubject=1&listType=grant&windRoseAnd=undefined&zoom=2",""
"149",221,"$38,307","Install a seaweed farm to bioextract pollution from Stamford Harbor in Stamford, Connecticut. Project will educate students, teachers and the public about the benefits of bioextraction through seaweed aquaculture in the waters of Long Island Sound.","National Fish and Wildlife Foundation (NFWF)","Bioremediation","","","SoundWaters, Inc.","2018","Government","Non-profit","https://www.nfwf.org/grants/grants-library/profile?egid=61429",""
"159",222,"$5,000","To solidify a partnership to assess the resilience of bull kelp forests and fisheries in Northern California which includes: (1) convening the “Healthy Kelp, Resilient Fisheries Working Group,” an interdisciplinary team of experts to address the scientific, research, and management needs of bull kelp habitat along the Sonoma and Mendocino coastlines; (2) gathering and analyzing data sets to improve bull kelp management, restoration, and research; and (3) developing an online centralized website/","The Keith Campbell Foundation for the Environment","Conservation and restoration","","","Greater Farallones Association","2018","Philanthropic","Non-profit","https://www.campbellfoundation.org/what-we-fund-pacific/",""
"169",223,"$12,726,187","GENIALG - increasing the production and sustainable exploitation of two high-yielding species of the EU seaweed biomass: the brown alga Saccharina latissima and the green algae Ulva spp.","Horizon2020","Processing / Biorefinery","Scottish Association for Marine Science (SAMS)","Seaweed Solutions
ALGAplus Lda","","2017","Government","Private-public consortium","https://cordis.europa.eu/project/id/727892",""
"179",224,"$7,380,263","GCRF GlobalSeaweed* - Safeguarding the future of seaweed aquaculture in developing countries","Biotechnology and Biological Sciences Research Council (BBSRC)","Diseases
Strain improvement / new species","Scottish Association for Marine Science (SAMS)","","","2017","Government","Univ / Research institute","https://gtr.ukri.org/projects?ref=BB%2FP027806%2F1",""
"189",225,"$5,880,447","to work towards the development of a fully-fledged sustainable seaweed sector. In other words: multifunctional seaweed farms in the North Sea with a chain connected to the land for logistics, processing and sales to the food industry.","Netherlands Govt","Aquaculture infrastructure & tech","WUR - Wageningen University & Research","North Sea Farmers","","2017","Government","Private-public consortium","https://www.wur.nl/nl/nieuws/Zeewier-als-duurzaam-voedsel-voor-mens-en-dier.htm",""
"199",226,"$3,054,414","BIOSEA - Innovative cost-effective technology for maximizing aquatic biomass-based molecules for food, feed and cosmetic applications","Horizon2020","Aquaculture infrastructure & tech
Processing / Biorefinery","Vlaamse Instelling voor Technologisch Onderzoek (VITO)","AtSeaNova NV","","2017","Government","Private-public consortium","https://cordis.europa.eu/project/id/745622",""
"209",227,"$2,239,608","This project aims to reduce water and fertilizer use in horticulture by using biostimulants and innovative tools. This combination will result in up to 20% reduction of water and 10% of fertilizers, depending on the crop. By including BS based on seaweeds, economic opportunities for seaweed producers will be created.","Interreg","Biostimulant","BlueGent","North Sea Farmers","NIAB EMR, Yncréa Hauts de France","2017","Government","Private-public consortium","https://keep.eu/projects/18515/An-innovative-approach-to-e-EN/",""
"2110",228,"$1,772,833","The INTEGRATE project will foster a quintuple helix cooperation to promote the industrial transition, finding sustainable ways to address an imbalance of resources towards Integrated Multi-Trophic Aquaculture (IMTA) in the Atlantic Area.","Interreg","IMTA","Ryan Institute at NUI Galway
CEVA - Centre des Etudes et de Valorisation des Algues","ALGAplus Lda
Irish Seaweed Consultancy","Institut national supérieur des sciences agronomiques, agroalimentaires, horticoles et du paysage","2017","Government","Private-public consortium","https://keep.eu/projects/19303/Integrate-aquaculture-an-ec-EN/",""
"229",229,"$958,511","Development of concept vessel with deck equipment and quality preserving technology for industrial seaweed cultivation","Norwegian Research Council","Aquaculture infrastructure & tech","Sintef
Norges Teknisk-naturvitenskapelige Universitet NTNU","","Møre Maritime AS, Abyss Aqua AS, MacGregor Norway AS, Mustad Autoline AS, Orkel AS, Polyform AS, Stranda Prolog AS","2017","Government","Private-public consortium","https://prosjektbanken.forskningsradet.no/en/project/FORISS/269104",""
"239",230,"$936,804","The research project KELPPRO (2017-2020) investigated how cultivation of kelp impact the environmental condition and marine life and estimated the extent to which large-scale kelp cultivation will affect natural ecosystems positively or negatively.","Norwegian Research Council","Environmental impact study","NIVA - Norsk Institutt for Vannforskning","","","2017","Government","Univ / Research institute","https://prosjektbanken.forskningsradet.no/en/project/FORISS/267536",""
"140",231,"$908,015","Sustainable post-harvest processing and value-addition of aquacultured seaweed","Maine Sea Grant","Processing / Biorefinery","University of Maine
Maine Sea Grant","","","2017","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"230",232,"$554,331","AORTA - Alginor will establish a biorefinery for seaweeds based on our highly innovative AORTA technology","Horizon2020
Norwegian Research Council","Processing / Biorefinery","","Alginor","","2017","Government
Government","Private sector","https://cordis.europa.eu/project/id/761743","https://prosjektbanken.forskningsradet.no/en/project/FORISS/269255"
"310",233,"$304,000","To research livestock methane reduction with the help of asparagopsis seaweed.","Schmidt Marine Technology Partners","Livestock methane reduction","","Blue Ocean Barns","","2017","Philanthropic","Private sector","",""
"410",234,"$229,527","Investigation of Seaweed Cultivation as Ocean Acidification Mitigation Strategy","Paul G. Allen Family Foundation","Bioremediation","","Puget Sound Restoration Fund","","2017","Philanthropic","Non-profit","https://maps.foundationcenter.org/#/list/?subjects=all&popgroups=all&years=all&location=6295630&excludeLocation=0&geoScale=ADM0&layer=geo_area&boundingBox=-139.219,-31.354,135,66.513&gmOrgs=all&recipOrgs=all&tags=all&keywords=seaweed&pathwaysOrg=&pathwaysType=&acct=oceans&typesOfSupport=all&transactionTypes=all&amtRanges=all&minGrantAmt=0&maxGrantAmt=0&gmTypes=all&minAssetsAmt=0&maxAssetsAmt=0&minGivingAmt=0&maxGivingAmt=0&andOr=0&includeGov=1&custom=all&customArea=all&indicator=&dataSource=oecd&chartType=facets&multiSubject=1&listType=grant&windRoseAnd=undefined&zoom=2",""
"510",235,"$175,000","Diversifying shellfish/seaweed aquaculture waterfronts","Long Cove Foundation","Aquaculture infrastructure & tech","","","Island Institute","2017","Philanthropic","Non-profit","",""
"610",236,"$159,800","how important trace elements (iron, boron and iodine) are taken up and stored in seaweeds, and how these elements interact with each other so as to affect the plant biology.","National Science Foundation (NSF)","Genetics / Biochemistry","San Diego State University","","","2017","Government","Univ / Research institute","https://www.nsf.gov/awardsearch/showAward?AWD_ID=1664657",""
"710",237,"$150,000","Sailors for the Sea is requesting funds to further our mission of ocean conservation through expansion of our core programs; Clean Regattas, KELP, Ocean Watch and Clean Boating Guide. Over the next two years we anticipate a significant increase in capacity and reach of these programs resulting in greater impact. We will focus on developing communications to encourage sailors to take action in regards to ocean health issues and empower people to become leaders in environmental responsibility.","Marisla Foundation","Conservation and restoration","","","Sailors For The Sea","2017","Philanthropic","Non-profit","",""
"810",238,"$145,834","Solving impediments to the co-culture of seaweeds and shellfish","California Sea Grant","IMTA","Moss Landing Marine Laboratories
California Sea Grant","","","2017","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"910",239,"$136,244","Provide tools to enable environmental management through habitat monitoring through filling a majorgap in baseline knowledge of seaweed biodiversity, populating local information systems and providingtraining in species identification.","Department for Environment Food and Rural Affairs (DEFRA)","Ecology / Plant biology","","","The UK Natural History Museum","2017","Government","Univ / Research institute","https://grantnav.threesixtygiving.org/grant/360G-cabinetoffice-GA-093348",""
"1010",240,"$107,629","Addressing iodine insufficiency with an innovative, natural & sustainable seaweed ingredient","Innovate UK","Nutraceuticals","","Seaweed & Co","","2017","Government","Private sector","https://gtr.ukri.org/projects?ref=133109",""
"1114",241,"$75,000","Catalyzing an Ecologically Restorative Seaweed Industry in Belize","Waitt Foundation","Capacity building / outreach","","The Nature Conservancy","","2017","Philanthropic","Non-profit","",""
"1212",242,"$58,460","UCUP, a novel sustainable paper cup for take-away drinks, provides an innovative solution to reduce the huge environmental impact of disposable cups. UCUP features an eco-innovative material obtained from brown seaweed which is bio-based, biodegradable and recyclable","Horizon2020","Bioplastics","","Notpla","","2017","Government","Private sector","https://cordis.europa.eu/project/id/791877",""
